V1,V2,V3,V4
engine,engine,N,1825
air,air,N,1825
receiver,receiver,N,1825
pressure,pressure,N,1825
tag,tag,N,1825
barg,NA,N,1825
condition,condition,N,1825
22nd,NA,N,1825
was,NA,V,1825
lined,lined,V,1825
continues,continues,V,1825
continues,continues,V,1825
recent,NA,J,1825
20th,th,J,1825
flat,flat,J,1825
july,NA,R,1825
most,NA,R,1825
NA,NA,P,1825
ctdl,ctdl,N,1826
gen,generator,N,1826
temp,temperature,N,1826
gas,gas,N,1826
center,center,N,1826
gtdl,gtdl,N,1826
gen,generator,N,1826
temp,temperature,N,1826
stator,stator,N,1826
gtdl,gtdl,N,1826
gen,generator,N,1826
gas,gas,N,1826
coup,coup,N,1826
coup,coup,N,1826
colt,colt,N,1826
temperatures,NA,N,1826
starting,NA,V,1826
lined,lined,V,1826
are,NA,V,1826
hot,hot,J,1826
temp,temperature,J,1826
cold,cold,J,1826
flat,flat,J,1826
NA,NA,R,1826
NA,NA,P,1826
update,NA,N,1827
john,john,N,1827
luke,luke,N,1827
generator,generator,N,1827
voltage,volts,N,1827
update,NA,N,1827
ct,NA,N,1827
generator,generator,N,1827
bottom,bottom,N,1827
chart,chart,N,1827
comparison,NA,N,1827
phase,phase,N,1827
ct,NA,N,1827
generator,generator,N,1827
model,model,N,1827
exciter,exciter,N,1827
voltage,volts,N,1827
load,load,N,1827
vars,vars,N,1827
tags,tags,N,1827
days,NA,N,1827
starts,starts,N,1827
voltages,voltages,N,1827
volts,NA,N,1827
estimates,estimates,N,1827
changes,NA,N,1827
let,NA,V,1827
know,NA,V,1827
increased,NA,V,1827
emailed,emailed,V,1827
adjusted,adjusted,V,1827
added,NA,V,1827
been,NA,V,1827
been,NA,V,1827
have,NA,V,1827
have,NA,V,1827
last,NA,J,1827
noticeable,noticeable,J,1827
current,current,J,1827
reactive,reactive,J,1827
also,NA,R,1827
bst,bst,R,1827
around,NA,R,1827
less,NA,R,1827
him,NA,P,1827
he,NA,P,1827
cylinder,cylinder,N,1828
exhaust,exhaust,N,1828
temperature,temperature,N,1828
condition,condition,N,1828
temperatures,NA,N,1828
running,NA,V,1828
been,NA,V,1828
compared,NA,V,1828
has,NA,V,1828
continues,continues,V,1828
elevated,elevated,J,1828
adjacent,adjacent,J,1828
slightly,NA,R,1828
NA,NA,P,1828
gtdl,gtdl,N,1829
hydrogen,hydrogen,N,1829
purity,purity,N,1829
%,,N,1829
form,NA,N,1829
%,,N,1829
decrease,decrease,N,1829
update,NA,N,1829
gtdl,gtdl,N,1829
hydrogen,hydrogen,N,1829
purity,purity,N,1829
approx,NA,N,1829
%,,N,1829
downwards,downwards,N,1829
values,values,N,1829
trending,trending,V,1829
reaching,reaching,V,1829
trending,trending,V,1829
decrease,decrease,V,1829
started,NA,V,1829
been,NA,V,1829
continued,NA,V,1829
been,NA,V,1829
has,NA,V,1829
has,NA,V,1829
has,NA,V,1829
approximate,NA,J,1829
initial,NA,J,1829
NA,NA,R,1829
NA,NA,P,1829
cylinder,cylinder,N,1831
exhaust,exhaust,N,1831
spread,spread,N,1831
model,model,N,1831
predictions,predictions,N,1831
spike,spike,V,1831
increased,NA,V,1831
has,NA,V,1831
continues,continues,V,1831
NA,NA,J,1831
periodically,periodically,R,1831
NA,NA,P,1831
update,NA,N,1832
issue,NA,N,1832
pm,NA,N,1832
brg,bearing,N,1832
mtl,metal,N,1832
temp,temperature,N,1832
turb_12btj2_1,turb btj,N,1832
starting,NA,V,1832
have,NA,V,1832
been,NA,V,1832
resolved,NA,V,1832
appears,NA,V,1832
becomes,NA,V,1832
gtdl,gtdl,J,1832
erratic,erratic,J,1832
low,low,J,1832
NA,NA,R,1832
NA,NA,P,1832
cylinder,cylinder,N,1833
exhaust,exhaust,N,1833
temperature,temperature,N,1833
model,model,N,1833
restart,restart,N,1833
predictions,predictions,N,1833
increased,NA,V,1833
followed,NA,V,1833
shut,NA,V,1833
remained,remained,V,1833
has,NA,V,1833
NA,NA,J,1833
slightly,NA,R,1833
NA,NA,P,1833
outage,NA,N,1834
wheelspace,wheelspace,N,1834
model,model,N,1834
~460f,NA,N,1834
model,model,N,1834
asset,asset,N,1834
temperatures,NA,N,1834
predictions,predictions,N,1834
stops,stops,N,1834
spikes,spikes,N,1834
shutting,shutting,V,1834
is,NA,V,1834
track,track,V,1834
3rd,rd,J,1834
high,NA,J,1834
as,NA,R,1834
NA,NA,P,1834
startup,startup,N,1835
sensor,sensor,N,1835
in/s,in s,N,1835
tag,tag,N,1835
sensor,sensor,N,1835
in/s,in s,N,1835
load,load,N,1835
ct,NA,N,1835
vibration,vibration,N,1835
update,NA,N,1835
gtdl,gtdl,N,1835
sensor,sensor,N,1835
39v-1b_12bb2,v b bb,N,1835
update,NA,N,1835
gtdl,gtdl,N,1835
sensor,sensor,N,1835
39v-1b_12bb2,v b bb,N,1835
flatlines,flatlines,N,1835
in/s,in s,N,1835
in/s,in s,N,1835
vib,vibration,V,1835
bst_12,bst,V,1835
flatlined,flatlined,V,1835
flatlined,flatlined,V,1835
reads,reads,V,1835
is,NA,V,1835
is,NA,V,1835
39v-1b_12bb2,v b bb,J,1835
gtdl,gtdl,J,1835
vib,vibration,J,1835
high,NA,J,1835
low,low,J,1835
open,NA,J,1835
vib,vibration,J,1835
vib,vibration,J,1835
higher,NA,J,1835
as,NA,R,1835
NA,NA,P,1835
engine,engine,N,1836
air,air,N,1836
pressure,pressure,N,1836
tag,tag,N,1836
flatlined,flatlined,V,1836
remained,remained,V,1836
has,NA,V,1836
NA,NA,J,1836
there,NA,R,1836
NA,NA,P,1836
after?06/23,NA,N,1837
sensor,sensor,N,1837
in/s,in s,N,1837
sensor,sensor,N,1837
39v-1b_12bb2,v b bb,N,1837
in/s,in s,N,1837
update,NA,N,1837
turb,turbine,N,1837
gen,generator,N,1837
bearing,bearing,N,1837
starts,starts,N,1837
increases,increases,N,1837
in/s,in s,N,1837
bearing,bearing,V,1837
forced,NA,V,1837
elevated,elevated,V,1837
is,NA,V,1837
remaines,remaines,V,1837
increases,increases,V,1837
gtdl,gtdl,J,1837
vib,vibration,J,1837
gtdl,gtdl,J,1837
vib,vibration,J,1837
intermittently,intermittently,R,1837
still,NA,R,1837
NA,NA,P,1837
startup,startup,N,1838
lo,lo,N,1838
header,NA,N,1838
press,pressure,N,1838
jan,NA,N,1838
jan,NA,N,1838
steps,NA,N,1838
psi,NA,N,1838
noted,NA,V,1838
gtdl,gtdl,J,1838
high,NA,J,1838
again,NA,R,1838
previously,NA,R,1838
NA,NA,P,1838
engine,engine,N,1839
air,air,N,1839
receiver,receiver,N,1839
pressure,pressure,N,1839
generator,generator,N,1839
beginning,NA,N,1839
running,NA,V,1839
was,NA,V,1839
flatlined,flatlined,V,1839
happened,NA,V,1839
has,NA,V,1839
NA,NA,J,1839
recently,NA,R,1839
most,NA,R,1839
NA,NA,P,1839
temp,temperature,N,1840
increase,increase,N,1840
loads,NA,N,1840
ws,wheelspace,N,1840
starting,NA,V,1840
low,low,J,1840
mw,NA,J,1840
NA,NA,R,1840
NA,NA,P,1840
exhaust,exhaust,N,1841
temperature,temperature,N,1841
deg,NA,N,1841
c,NA,N,1841
restart,restart,N,1841
a6,NA,N,1841
increased,NA,V,1841
NA,NA,J,1841
NA,NA,R,1841
NA,NA,P,1841
unit,NA,N,1842
sensor,sensor,N,1842
tracking,tracking,N,1842
model,model,N,1842
signal,signal,N,1842
in/s,in s,N,1842
in/sec.,in sec,N,1842
update,NA,N,1842
bst,bst,N,1842
ct,NA,N,1842
brg,bearing,N,1842
vibe,vibe,N,1842
sensor,sensor,N,1842
in/s,in s,N,1842
time,NA,N,1842
vibration,vibration,N,1842
bearing,bearing,N,1842
issue,NA,N,1842
sensors,sensors,N,1842
bearing,bearing,V,1842
reading,reading,V,1842
flatline,flatline,V,1842
was,NA,V,1842
began,NA,V,1842
was,NA,V,1842
started,NA,V,1842
spiked,spiked,V,1842
forced,NA,V,1842
have,NA,V,1842
ct,NA,J,1842
39v-3a,v a,J,1842
39v-3b,v b,J,1842
then,NA,R,1842
erratically,erratically,R,1842
then,NA,R,1842
NA,NA,P,1842
condition,condition,N,1843
update,NA,N,1843
position,position,N,1843
reference,NA,N,1843
ibh,NA,N,1843
valve,valve,N,1843
ct12,NA,N,1843
%,,N,1843
update,NA,N,1843
position,position,N,1843
reference,NA,N,1843
ibh,NA,N,1843
valve,valve,N,1843
ct12,NA,N,1843
%,,N,1843
position,position,N,1843
reference,NA,N,1843
ibh,NA,N,1843
valve,valve,N,1843
ct12,NA,N,1843
%,,N,1843
difference,NA,N,1843
%,,N,1843
position/reference,position reference,N,1843
difference,NA,N,1843
reference,NA,N,1843
valve,valve,N,1843
position,position,N,1843
update,NA,N,1843
ibh,NA,N,1843
call,NA,N,1843
update,NA,N,1843
position,position,N,1843
reference,NA,N,1843
ibh,NA,N,1843
valve,valve,N,1843
%,,N,1843
update,NA,N,1843
position,position,N,1843
reference,NA,N,1843
ibh,NA,N,1843
valve,valve,N,1843
%,,N,1843
persists,persists,N,1843
periods,periods,N,1843
spikes,spikes,N,1843
hours,NA,N,1843
spikes,spikes,N,1843
reading,reading,V,1843
?spiking,spiking,V,1843
trending,trending,V,1843
reached,NA,V,1843
reached,NA,V,1843
reached,NA,V,1843
went,NA,V,1843
were,NA,V,1843
had,NA,V,1843
was,NA,V,1843
tripped,tripped,V,1843
occurred,NA,V,1843
reached,NA,V,1843
discussed,NA,V,1843
been,NA,V,1843
has,NA,V,1843
differential,differential,J,1843
high,NA,J,1843
differential,differential,J,1843
high,NA,J,1843
differential,differential,J,1843
high,NA,J,1843
erratic,erratic,J,1843
?full,NA,J,1843
open,NA,J,1843
weekly,NA,J,1843
several,NA,J,1843
other,NA,J,1843
differential,differential,J,1843
differential,differential,J,1843
lower,lower,J,1843
as,NA,R,1843
as,NA,R,1843
as,NA,R,1843
however,NA,R,1843
~,,R,1843
NA,NA,P,1843
engine,engine,N,1844
air,air,N,1844
receiver,receiver,N,1844
pressure,pressure,N,1844
flatline,flatline,V,1844
started,NA,V,1844
NA,NA,J,1844
sporadically,sporadically,R,1844
NA,NA,P,1844
metal,metal,N,1845
temperature,temperature,N,1845
indication,NA,N,1845
bst,bst,N,1845
ct,NA,N,1845
value,NA,N,1845
update,NA,N,1845
condition,condition,N,1845
update,NA,N,1845
update,NA,N,1845
metal,metal,N,1845
temperature,temperature,N,1845
indication,NA,N,1845
persists,persists,N,1845
conditions,conditions,N,1845
conditions,conditions,N,1845
beginning,NA,V,1845
reading,reading,V,1845
falling,falling,V,1845
began,NA,V,1845
noted,NA,V,1845
persisted,persisted,V,1845
noted,NA,V,1845
persisted,persisted,V,1845
flatlined,flatlined,V,1845
has,NA,V,1845
has,NA,V,1845
is,NA,V,1845
inactive,inactive,J,1845
negative,NA,J,1845
inactive,inactive,J,1845
erratically,erratically,R,1845
still,NA,R,1845
NA,NA,P,1845
exhaust,exhaust,N,1846
temperature,temperature,N,1846
restart,restart,N,1846
deg,NA,N,1846
c,NA,N,1846
deg,NA,N,1846
c,NA,N,1846
a6,NA,N,1846
temperatures,NA,N,1846
decreasing,decreasing,V,1846
6/3.,,V,1846
getting,NA,V,1846
started,NA,V,1846
are,NA,V,1846
recent,NA,J,1846
low,low,J,1846
other,NA,J,1846
hotter,hotter,J,1846
as,NA,R,1846
actually,NA,R,1846
most,NA,R,1846
NA,NA,P,1846
bearing,bearing,N,1847
oil,oil,N,1847
drain,drain,N,1847
model,model,N,1847
temperatures,NA,N,1847
bearing,bearing,V,1847
adapt,NA,V,1847
thrust,thrust,V,1847
increased,NA,J,1847
mechanical,mechanical,J,1847
NA,NA,R,1847
NA,NA,P,1847
return,NA,N,1848
service,NA,N,1848
unit,NA,N,1848
shutdown,NA,N,1848
gcv,NA,N,1848
difference,NA,N,1848
fuel,fuel,N,1848
gas,gas,N,1848
control,control,N,1848
valve,valve,N,1848
demand,demand,N,1848
%,,N,1848
gcv,NA,N,1848
%,,N,1848
pm1,NA,V,1848
increased,NA,V,1848
increased,NA,V,1848
differential,differential,J,1848
differential,differential,J,1848
NA,NA,R,1848
NA,NA,P,1848
lube,lube,N,1849
oil,oil,N,1849
temperature,temperature,N,1849
degc,NA,N,1849
reading,reading,N,1849
condition,condition,N,1849
fluctuating,fluctuating,V,1849
been,NA,V,1849
has,NA,V,1849
continues,continues,V,1849
actual,NA,J,1849
NA,NA,R,1849
NA,NA,P,1849
gtdl,gtdl,N,1850
turb,turbine,N,1850
temp-wheelspace,temp wheelspace,N,1850
model,model,N,1850
deviates,deviates,N,1850
estimates,estimates,N,1850
trends,NA,N,1850
estimates,estimates,N,1850
NA,NA,V,1850
NA,NA,J,1850
currently,NA,R,1850
NA,NA,P,1850
gtdl,gtdl,N,1851
sensor,sensor,N,1851
39v-3b,v b,N,1851
line,NA,N,1851
model,model,N,1851
gtdl,gtdl,N,1851
sensor,sensor,N,1851
39v-3b,v b,N,1851
line,NA,N,1851
model,model,N,1851
vibration,vibration,N,1851
indication,NA,N,1851
ct,NA,N,1851
39v-3b,v b,N,1851
in/s,in s,N,1851
signal,signal,N,1851
in/s,in s,N,1851
weeks,NA,N,1851
vib,vibration,V,1851
vib,vibration,V,1851
beginning,NA,V,1851
bearing,bearing,V,1851
reading,reading,V,1851
reaching,reaching,V,1851
be,NA,V,1851
came,NA,V,1851
began,NA,V,1851
remained,remained,V,1851
been,NA,V,1851
flatlined,flatlined,V,1851
forced,NA,V,1851
has,NA,V,1851
has,NA,V,1851
appears,NA,V,1851
last,NA,J,1851
seismic,NA,J,1851
high,NA,J,1851
back,NA,R,1851
erratically,erratically,R,1851
as,NA,R,1851
since,NA,R,1851
NA,NA,P,1851
datafeed,datafeed,N,1852
return,NA,N,1852
exhaust,exhaust,N,1852
temp,temperature,N,1852
estimate,estimate,N,1852
time,NA,N,1852
unit,NA,N,1852
mid-march,mid march,N,1852
deviation,deviation,N,1852
prc,prc,N,1852
values,values,N,1852
cylinders,cylinders,N,1852
reading,reading,V,1852
continue,NA,V,1852
monitor,monitor,V,1852
was,NA,V,1852
ran,NA,V,1852
were,NA,V,1852
showed,NA,V,1852
estimated,estimated,V,1852
~430c,NA,J,1852
last,NA,J,1852
actual,NA,J,1852
~430c,NA,J,1852
other,NA,J,1852
similar,NA,J,1852
industrial,industrial,J,1852
NA,NA,R,1852
NA,NA,P,1852
update,NA,N,1853
gtdl,gtdl,N,1853
quatern,quatern,N,1853
gcv,NA,N,1853
line,NA,N,1853
model,model,N,1853
week,NA,N,1853
shift,NA,N,1853
fuel,fuel,N,1853
gcv,NA,N,1853
time,NA,N,1853
fuel,fuel,N,1853
gas,gas,N,1853
control,control,N,1853
valve,valve,N,1853
dmd,dmd,N,1853
%,,N,1853
model,model,N,1853
change,NA,N,1853
load,load,N,1853
difference,NA,N,1853
load,load,N,1853
mw,NA,N,1853
pos,position,N,1853
differentials,differentials,N,1853
trends,NA,N,1853
changes,NA,N,1853
be,NA,V,1853
~5,,V,1853
come,NA,V,1853
has,NA,V,1853
appears,NA,V,1853
estimates,estimates,V,1853
is,NA,V,1853
last,NA,J,1853
same,NA,J,1853
gross,gross,J,1853
higher,NA,J,1853
fdbk,fdbk,R,1853
back,NA,R,1853
also,NA,R,1853
NA,NA,P,1853
engine,engine,N,1854
lube,lube,N,1854
oil,oil,N,1854
inlet,inlet,N,1854
temperature,temperature,N,1854
prc,prc,N,1854
continue,NA,V,1854
monitor,monitor,V,1854
spiked,spiked,V,1854
has,NA,V,1854
high,NA,J,1854
600c,NA,J,1854
low,low,J,1854
industrial,industrial,J,1854
as,NA,R,1854
as,NA,R,1854
NA,NA,P,1854
gtdl,gtdl,N,1855
turbin,turbin,N,1855
temp-wheelspace,temp wheelspace,N,1855
stage,NA,N,1855
fore,fore,N,1855
temp,temperature,N,1855
stage,NA,N,1855
aft,NA,N,1855
temp,temperature,N,1855
lined,lined,V,1855
have,NA,V,1855
outer,outer,J,1855
outer,outer,J,1855
flat,flat,J,1855
NA,NA,R,1855
NA,NA,P,1855
exhaust,exhaust,N,1856
temps,temperature,N,1856
lined,lined,V,1856
flat,flat,J,1856
NA,NA,R,1856
NA,NA,P,1856
exhaust,exhaust,N,1857
temperature,temperature,N,1857
deg,NA,N,1857
c,NA,N,1857
restart,restart,N,1857
a7,NA,N,1857
increased,NA,V,1857
NA,NA,J,1857
NA,NA,R,1857
NA,NA,P,1857
metal,metal,N,1858
temp,temperature,N,1858
oil,oil,N,1858
drain,drain,N,1858
bearings,bearings,N,1858
bearings,bearings,N,1858
temperatures,NA,N,1858
bearing,bearing,V,1858
lined,lined,V,1858
lined,lined,V,1858
flat,flat,J,1858
flat,flat,J,1858
also,NA,R,1858
as,NA,R,1858
well,NA,R,1858
NA,NA,P,1858
wheelspace,wheelspace,N,1859
stage,NA,N,1859
temperature,temperature,N,1859
deg,NA,N,1859
f,NA,N,1859
gtdl,gtdl,N,1859
turb,turbine,N,1859
temp-wheelspace,temp wheelspace,N,1859
bst_12,bst,N,1859
gtdl,gtdl,N,1859
turb,turbine,N,1859
temp-wheelspace_12ttws3fo1,temp wheelspace ttwsfo,N,1859
deg,NA,N,1859
f,NA,N,1859
deg,NA,N,1859
f,NA,N,1859
gtdl,gtdl,N,1859
turb,turbine,N,1859
temp-wheelspace,temp wheelspace,N,1859
bst_12,bst,N,1859
gtdl,gtdl,N,1859
turb,turbine,N,1859
temp-wheelspace_12ttws3fo2,temp wheelspace ttwsfo,N,1859
deg,NA,N,1859
f,NA,N,1859
update,NA,N,1859
ge,ge,N,1859
water,water,N,1859
wash,wash,N,1859
note,NA,N,1859
wheelspace_12ttws3fo2,wheelspace ttwsfo,N,1859
deg,NA,N,1859
f,NA,N,1859
values,values,N,1859
values,values,N,1859
fo,fo,V,1859
like,NA,V,1859
update,NA,V,1859
approx,NA,V,1859
been,NA,V,1859
shifted,shifted,V,1859
has,NA,V,1859
reads,reads,V,1859
reads,reads,V,1859
has,NA,V,1859
3rd,rd,J,1859
differential,differential,J,1859
downwards,downwards,R,1859
NA,NA,P,1859
engine,engine,N,1860
lube,lube,N,1860
oil,oil,N,1860
temperature,temperature,N,1860
become,NA,V,1860
has,NA,V,1860
erratic,erratic,J,1860
NA,NA,R,1860
NA,NA,P,1860
load,load,N,1862
drum,drum,N,1862
level,NA,N,1862
hp,hp,N,1862
drum,drum,N,1862
fw,fw,N,1862
flow,flow,N,1862
position,position,N,1862
demand,demand,N,1862
drum,drum,N,1862
level,NA,N,1862
update,NA,N,1862
drum,drum,N,1862
range,range,N,1862
model,model,N,1862
update,NA,N,1862
valve,valve,N,1862
position,position,N,1862
demand,demand,N,1862
drum,drum,N,1862
level,NA,N,1862
position,position,N,1862
instrument,instrument,N,1862
december.,NA,N,1862
changes,NA,N,1862
swings,swings,N,1862
inches,NA,N,1862
levels,NA,N,1862
inches,NA,N,1862
levels,NA,N,1862
?indications,NA,N,1862
trends,NA,N,1862
holding,holding,V,1862
tracking,tracking,V,1862
being,NA,V,1862
hp,hp,V,1862
was,NA,V,1862
seen,NA,V,1862
blown,blown,V,1862
is,NA,V,1862
become,NA,V,1862
are,NA,V,1862
are,NA,V,1862
are,NA,V,1862
erratic,erratic,J,1862
-4,,J,1862
erratic,erratic,J,1862
hp,hp,J,1862
smaller,NA,J,1862
vlv,valve,R,1862
-2,,R,1862
however,NA,R,1862
not,NA,R,1862
well,NA,R,1862
still,NA,R,1862
as,NA,R,1862
well,NA,R,1862
NA,NA,P,1862
engine,engine,N,1863
lube,lube,N,1863
oil,oil,N,1863
temperature,temperature,N,1863
inlet,inlet,N,1863
form,NA,N,1863
june,NA,N,1863
sensor,sensor,N,1863
issue,NA,N,1863
cylinder,cylinder,N,1863
exhaust,exhaust,N,1863
temperature,temperature,N,1863
persists,persists,N,1863
b4,NA,N,1863
~500degc.,NA,N,1863
monitoring,monitoring,V,1863
been,NA,V,1863
been,NA,V,1863
increased,NA,V,1863
has,NA,V,1863
has,NA,V,1863
have,NA,V,1863
erratic,erratic,J,1863
sda-ti8051025c,sda tic,J,1863
~440degc,NA,J,1863
also,NA,R,1863
NA,NA,P,1863
exhaust,exhaust,N,1864
temperature,temperature,N,1864
bank,bank,N,1864
rest,NA,N,1864
exhaust,exhaust,N,1864
temperature,temperature,N,1864
driver,driver,N,1864
perf,perf,N,1864
input,NA,N,1864
driver,driver,N,1864
perf,perf,N,1864
input,NA,N,1864
driver,driver,N,1864
perf,perf,N,1864
input,NA,N,1864
driver,driver,N,1864
perf,perf,N,1864
input,NA,N,1864
driver,driver,N,1864
perf,perf,N,1864
input,NA,N,1864
driver,driver,N,1864
perf,perf,N,1864
input,NA,N,1864
c,NA,N,1864
driver,driver,N,1864
perf,perf,N,1864
input,NA,N,1864
driver,driver,N,1864
perf,perf,N,1864
input,NA,N,1864
?deg,NA,N,1864
c,NA,N,1864
a6,NA,N,1864
inputs,NA,N,1864
c,NA,N,1864
c,NA,N,1864
c,NA,N,1864
c,NA,N,1864
c,NA,N,1864
c,NA,N,1864
?deg,NA,N,1864
?deg,NA,N,1864
?deg,NA,N,1864
?deg,NA,N,1864
?deg,NA,N,1864
?deg,NA,N,1864
monitoring,monitoring,V,1864
reading,reading,V,1864
spread,spread,V,1864
?24/06/2015,,V,1864
spread,spread,V,1864
?24/06/2015,,V,1864
spread,spread,V,1864
?24/06/2015,,V,1864
spread,spread,V,1864
?24/06/2015,,V,1864
spread,spread,V,1864
?24/06/2015,,V,1864
spread,spread,V,1864
?24/06/2015,,V,1864
spread,spread,V,1864
?24/06/2015,,V,1864
spread,spread,V,1864
?24/06/2015,,V,1864
been,NA,V,1864
follows,NA,V,1864
have,NA,V,1864
lower,lower,J,1864
much,NA,R,1864
we,NA,P,1864
?473.00,,P,1864
?449.00,,P,1864
?487.00,,P,1864
?470.00,,P,1864
?486.00,,P,1864
?405.00,,P,1864
?444.00,,P,1864
?499.00,,P,1864
burner,burner,N,1865
sect,sect,N,1865
c,NA,N,1865
nans,nans,N,1865
starting,NA,V,1865
return,NA,V,1865
are,NA,V,1865
flatlined,flatlined,J,1865
intermittently,intermittently,R,1865
NA,NA,P,1865
startup,startup,N,1866
ip,ip,N,1866
drum,drum,N,1866
cont,cont,N,1866
bd,bd,N,1866
spec,spec,N,1866
condct,conductivity,N,1866
us/cm,us cm,N,1866
flatlines,flatlines,N,1866
NA,NA,V,1866
NA,NA,J,1866
NA,NA,R,1866
NA,NA,P,1866
inlet,inlet,N,1867
outlet,outlet,N,1867
air,air,N,1867
model,model,N,1867
sea,sea,N,1867
water,water,N,1867
cooler,cooler,N,1867
predictions,predictions,N,1867
drawings,NA,N,1867
increased,NA,V,1867
has,NA,V,1867
remains,NA,V,1867
shows,NA,V,1867
NA,NA,J,1867
NA,NA,R,1867
NA,NA,P,1867
driver,driver,N,1869
condition,condition,N,1869
increase,increase,N,1869
level,NA,N,1869
asset,asset,N,1869
blow,blow,N,1869
valve,valve,N,1869
air,air,N,1869
flow,flow,N,1869
fcc,fcc,N,1869
sensor,sensor,N,1869
valve,valve,N,1869
position,position,N,1869
present,NA,N,1869
blow,blow,N,1869
valve,valve,N,1869
position,position,N,1869
%,,N,1869
%,,N,1869
valve,valve,N,1869
screenshot,NA,N,1869
in?conditions,in conditions,N,1869
persists,persists,N,1869
data,NA,N,1869
tracks,tracks,N,1869
alias,alias,N,1869
hours,NA,N,1869
bearing,bearing,V,1869
causing,NA,V,1869
be,NA,V,1869
be,NA,V,1869
1-Sep,,V,1869
20-Aug,,V,1869
act,act,V,1869
dropped,dropped,V,1869
came,NA,V,1869
discussed,NA,V,1869
increased,NA,V,1869
adapted,adapted,V,1869
put,NA,V,1869
remained,remained,V,1869
attached,NA,V,1869
mentioned,NA,V,1869
dates,dates,V,1869
has,NA,V,1869
is,NA,V,1869
is,NA,V,1869
s,NA,V,1869
cmm,cmm,J,1869
slight,slight,J,1869
?same,NA,J,1869
several,NA,J,1869
sensor(,sensor,J,1869
lower,lower,J,1869
vibration,vibration,R,1869
very,NA,R,1869
as,NA,R,1869
well,NA,R,1869
retrain,retrain,R,1869
out,NA,R,1869
off,NA,R,1869
back,NA,R,1869
only,NA,R,1869
then,NA,R,1869
steadily,steadily,R,1869
it,NA,P,1869
it,NA,P,1869
hp,hp,N,1870
sh,sh,N,1870
spray,spray,N,1870
press,pressure,N,1870
psig,NA,N,1870
bst_12,bst,N,1870
hrsg,hrsg,N,1870
hp,hp,N,1870
sec,NA,N,1870
sh,sh,N,1870
inlet,inlet,N,1870
bst_12,bst,N,1870
hrsg,hrsg,N,1870
hp,hp,N,1870
sh,sh,N,1870
steam,steam,N,1870
temp_1hrti2404,temp hrti,N,1870
pressure,pressure,N,1870
steps,NA,N,1870
changes,NA,N,1870
correlate,correlate,V,1870
do,NA,V,1870
hrsg,hrsg,J,1870
?(,,J,1870
intermittently,intermittently,R,1870
consistently,consistently,R,1870
erratically,erratically,R,1870
not,NA,R,1870
NA,NA,P,1870
model,model,N,1871
performance,performance,N,1871
sensor,sensor,N,1871
suction,suction,N,1871
temperature,temperature,N,1871
model,model,N,1871
sensor,sensor,N,1871
date,NA,N,1871
range,range,N,1871
alias,alias,N,1871
using,NA,V,1871
adapt,NA,V,1871
provided,NA,V,1871
dates,dates,V,1871
please,NA,V,1871
9/15-present,NA,J,1871
above,NA,J,1871
NA,NA,R,1871
NA,NA,P,1871
step,step,N,1872
change,NA,N,1872
drum,drum,N,1872
fw,fw,N,1872
valve,valve,N,1872
position,position,N,1872
%,,N,1872
%,,N,1872
update,NA,N,1872
condition,condition,N,1872
hp,hp,N,1872
drum,drum,N,1872
level,NA,N,1872
c,NA,N,1872
drum,drum,N,1872
level,NA,N,1872
b,NA,N,1872
update,NA,N,1872
hp,hp,N,1872
drum,drum,N,1872
fw,fw,N,1872
level,NA,N,1872
control,control,N,1872
valve,valve,N,1872
position,position,N,1872
week,NA,N,1872
%,,N,1872
%,,N,1872
update,NA,N,1872
hp,hp,N,1872
drum,drum,N,1872
level,NA,N,1872
c,NA,N,1872
line,NA,N,1872
model,model,N,1872
hp,hp,N,1872
drum,drum,N,1872
fw,fw,N,1872
valve,valve,N,1872
position,position,N,1872
hp,hp,N,1872
drum,drum,N,1872
fw,fw,N,1872
valve,valve,N,1872
b,NA,N,1872
%,,N,1872
load,load,N,1872
hp,hp,N,1872
drum,drum,N,1872
fw,fw,N,1872
valve,valve,N,1872
position,position,N,1872
%,,N,1872
place,NA,N,1872
outage,NA,N,1872
trends,NA,N,1872
persists,persists,N,1872
inches,NA,N,1872
months,NA,N,1872
times,NA,N,1872
months,NA,N,1872
changes,NA,N,1872
repairs,NA,N,1872
operating,NA,V,1872
running,NA,V,1872
running,NA,V,1872
trending,trending,V,1872
suring,suring,V,1872
take,NA,V,1872
observed,observed,V,1872
increased,NA,V,1872
did,NA,V,1872
been,NA,V,1872
been,NA,V,1872
increased,NA,V,1872
been,NA,V,1872
is,NA,V,1872
has,NA,V,1872
has,NA,V,1872
has,NA,V,1872
has,NA,V,1872
hp,hp,J,1872
hp,hp,J,1872
past,NA,J,1872
previous,NA,J,1872
open,NA,J,1872
last,NA,J,1872
few,NA,J,1872
consistent,NA,J,1872
last,NA,J,1872
few,NA,J,1872
higher,NA,J,1872
currently,NA,R,1872
currently,NA,R,1872
approximately,NA,R,1872
it,NA,P,1872
frame,NA,N,1873
vibration,vibration,N,1873
driver,driver,N,1873
bearing,bearing,N,1873
driver,driver,N,1873
range,range,N,1873
residuals,residuals,N,1873
?vibrations,vibration,N,1873
vibrations,vibration,N,1873
returned,NA,V,1873
have,NA,V,1873
positive,positive,J,1873
normal,NA,J,1873
NA,NA,R,1873
NA,NA,P,1873
increase,increase,N,1874
signal,signal,N,1874
noise,noise,N,1874
present,NA,N,1874
